sample	fastq_1	fastq_2	strandedness	tpt
UF-3016-1510-0	/proj/sens2022005/delivery05927/INBOX/UF-3016/220325_A00605_0384_BHGHHGDSX3/220325_A00605_0384_BHGHHGDSX3/Sample_UF-3016-1510-0/UF-3016-1510-0_S89_L002_R1_001.fastq.gz	/proj/sens2022005/delivery05927/INBOX/UF-3016/220325_A00605_0384_BHGHHGDSX3/220325_A00605_0384_BHGHHGDSX3/Sample_UF-3016-1510-0/UF-3016-1510-0_S89_L002_R2_001.fastq.gz	reverse	Baseline
UF-3016-1511-0	/proj/sens2022005/delivery05927/INBOX/UF-3016/220121_A00181_0412_AHNVKNDSX2/220121_A00181_0412_AHNVKNDSX2/Sample_UF-3016-1511-0/UF-3016-1511-0_S41_L003_R1_001.fastq.gz	/proj/sens2022005/delivery05927/INBOX/UF-3016/220121_A00181_0412_AHNVKNDSX2/220121_A00181_0412_AHNVKNDSX2/Sample_UF-3016-1511-0/UF-3016-1511-0_S41_L003_R2_001.fastq.gz	reverse	Baseline
UF-3016-1512-0	/proj/sens2022005/delivery05927/INBOX/UF-3016/211217_A00605_0328_AHLG2TDSX2/211217_A00605_0328_AHLG2TDSX2/Sample_UF-3016-1512-0/UF-3016-1512-0_S65_L002_R1_001.fastq.gz	/proj/sens2022005/delivery05927/INBOX/UF-3016/211217_A00605_0328_AHLG2TDSX2/211217_A00605_0328_AHLG2TDSX2/Sample_UF-3016-1512-0/UF-3016-1512-0_S65_L002_R2_001.fastq.gz	reverse	Baseline
UF-3016-1513-0	/proj/sens2022005/delivery05927/INBOX/UF-3016/220218_A00181_0431_AHN33MDSX2/220218_A00181_0431_AHN33MDSX2/Sample_UF-3016-1513-0/UF-3016-1513-0_S31_L001_R1_001.fastq.gz	/proj/sens2022005/delivery05927/INBOX/UF-3016/220218_A00181_0431_AHN33MDSX2/220218_A00181_0431_AHN33MDSX2/Sample_UF-3016-1513-0/UF-3016-1513-0_S31_L001_R2_001.fastq.gz	reverse	Baseline
UF-3016-1514-0	/proj/sens2022005/delivery05927/INBOX/UF-3016/211217_A00605_0328_AHLG2TDSX2/211217_A00605_0328_AHLG2TDSX2/Sample_UF-3016-1514-0/UF-3016-1514-0_S15_L001_R1_001.fastq.gz	/proj/sens2022005/delivery05927/INBOX/UF-3016/211217_A00605_0328_AHLG2TDSX2/211217_A00605_0328_AHLG2TDSX2/Sample_UF-3016-1514-0/UF-3016-1514-0_S15_L001_R2_001.fastq.gz	reverse	Baseline
UF-3016-1515-0	/proj/sens2022005/delivery05927/INBOX/UF-3016/220218_A00181_0431_AHN33MDSX2/220218_A00181_0431_AHN33MDSX2/Sample_UF-3016-1515-0/UF-3016-1515-0_S59_L002_R1_001.fastq.gz	/proj/sens2022005/delivery05927/INBOX/UF-3016/220218_A00181_0431_AHN33MDSX2/220218_A00181_0431_AHN33MDSX2/Sample_UF-3016-1515-0/UF-3016-1515-0_S59_L002_R2_001.fastq.gz	reverse	Baseline
UF-3016-1516-0	/proj/sens2022005/delivery05927/INBOX/UF-3016/220128_A00181_0416_BHN2WCDSX2/220128_A00181_0416_BHN2WCDSX2/Sample_UF-3016-1516-0/UF-3016-1516-0_S58_L002_R1_001.fastq.gz	/proj/sens2022005/delivery05927/INBOX/UF-3016/220128_A00181_0416_BHN2WCDSX2/220128_A00181_0416_BHN2WCDSX2/Sample_UF-3016-1516-0/UF-3016-1516-0_S58_L002_R2_001.fastq.gz	reverse	Baseline
UF-3016-1517-0-2	/proj/sens2022005/delivery05927/INBOX/UF-3016/211217_A00605_0328_AHLG2TDSX2/211217_A00605_0328_AHLG2TDSX2/Sample_UF-3016-1517-0-2/UF-3016-1517-0-2_S52_L002_R1_001.fastq.gz	/proj/sens2022005/delivery05927/INBOX/UF-3016/211217_A00605_0328_AHLG2TDSX2/211217_A00605_0328_AHLG2TDSX2/Sample_UF-3016-1517-0-2/UF-3016-1517-0-2_S52_L002_R2_001.fastq.gz	reverse	Baseline
UF-3016-1518-0	/proj/sens2022005/delivery05927/INBOX/UF-3016/220128_A00181_0416_BHN2WCDSX2/220128_A00181_0416_BHN2WCDSX2/Sample_UF-3016-1518-0/UF-3016-1518-0_S70_L002_R1_001.fastq.gz	/proj/sens2022005/delivery05927/INBOX/UF-3016/220128_A00181_0416_BHN2WCDSX2/220128_A00181_0416_BHN2WCDSX2/Sample_UF-3016-1518-0/UF-3016-1518-0_S70_L002_R2_001.fastq.gz	reverse	Baseline
UF-3016-1519-0	/proj/sens2022005/delivery05927/INBOX/UF-3016/220325_A00605_0384_BHGHHGDSX3/220325_A00605_0384_BHGHHGDSX3/Sample_UF-3016-1519-0/UF-3016-1519-0_S1_L001_R1_001.fastq.gz	/proj/sens2022005/delivery05927/INBOX/UF-3016/220325_A00605_0384_BHGHHGDSX3/220325_A00605_0384_BHGHHGDSX3/Sample_UF-3016-1519-0/UF-3016-1519-0_S1_L001_R2_001.fastq.gz	reverse	Baseline
